"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2018","38,585.66","38,062.64","38,597.68","38,033.83","65.90K","1.51%"
"Dec 13, 2018","38,011.63","38,328.51","38,464.79","37,767.01","57.73K","-0.77%"
"Dec 12, 2018","38,307.44","38,770.56","38,810.15","38,130.07","107.04K","-1.40%"
"Dec 11, 2018","38,851.96","39,338.68","39,338.68","38,801.13","84.43K","-1.14%"
"Dec 10, 2018","39,299.62","38,826.23","39,438.68","38,826.23","113.19K","1.91%"
"Dec 07, 2018","38,562.05","38,300.33","38,651.88","37,779.67","91.39K","0.68%"
"Dec 06, 2018","38,300.62","39,371.09","39,448.28","38,247.01","121.44K","-2.55%"
"Dec 05, 2018","39,303.11","39,607.10","39,607.10","38,719.62","87.96K","-0.76%"
"Dec 04, 2018","39,602.87","38,889.68","39,657.96","38,889.24","140.55K","1.13%"
"Dec 03, 2018","39,160.60","40,383.27","40,383.44","39,015.62","102.66K","-3.30%"
"Nov 30, 2018","40,496.03","40,625.67","40,936.73","40,339.93","212.88K","-0.35%"
"Nov 29, 2018","40,638.83","40,717.95","40,781.43","40,462.91","53.32K","-0.16%"
"Nov 28, 2018","40,704.80","40,944.66","41,081.23","40,653.71","76.39K","-0.46%"
"Nov 27, 2018","40,894.22","40,825.54","40,925.43","40,520.47","70.71K","0.30%"
"Nov 26, 2018","40,771.55","40,882.10","41,144.09","40,664.17","68.88K","-0.24%"
"Nov 23, 2018","40,869.28","40,839.64","40,899.47","40,655.08","69.74K","-0.01%"
"Nov 22, 2018","40,874.03","41,367.89","41,367.89","40,795.96","88.92K","-1.32%"
"Nov 20, 2018","41,419.24","41,376.42","41,465.81","41,214.11","79.64K","0.16%"
"Nov 19, 2018","41,352.77","41,682.92","41,682.92","41,240.51","68.04K","-0.74%"
"Nov 16, 2018","41,660.75","41,536.07","41,804.81","41,439.41","107.56K","0.56%"
"Nov 15, 2018","41,428.63","41,018.60","41,477.90","40,942.26","145.16K","1.06%"
"Nov 14, 2018","40,994.05","40,874.22","41,322.77","40,763.44","146.56K","-0.38%"
"Nov 13, 2018","41,152.28","41,112.26","41,202.42","40,760.59","91.31K","0.14%"
"Nov 12, 2018","41,096.33","41,414.31","41,572.17","41,052.97","96.97K","-0.71%"
"Nov 09, 2018","41,388.88","41,332.75","41,567.19","41,208.35","139.98K","0.05%"
"Nov 08, 2018","41,367.38","41,623.58","41,650.70","41,284.64","133.41K","-0.43%"
"Nov 07, 2018","41,543.98","41,326.74","41,597.93","41,231.19","169.72K","1.43%"
"Nov 06, 2018","40,958.53","41,432.27","41,554.31","40,755.79","142.33K","-1.29%"
"Nov 05, 2018","41,493.96","41,892.22","41,892.22","41,033.87","145.50K","-1.21%"
"Nov 02, 2018","42,004.09","41,701.98","42,243.83","41,607.16","209.73K","0.69%"
"Nov 01, 2018","41,716.10","41,616.27","41,827.05","41,454.54","151.71K","0.16%"
"Oct 31, 2018","41,649.36","41,611.95","41,825.55","41,237.48","178.97K","0.10%"
"Oct 30, 2018","41,609.03","41,648.88","41,792.81","41,366.58","220.16K","0.37%"
"Oct 29, 2018","41,453.76","40,556.45","41,513.63","40,556.45","279.10K","2.21%"
"Oct 26, 2018","40,556.45","39,736.39","40,604.91","39,375.42","237.22K","2.33%"
"Oct 25, 2018","39,631.91","39,697.70","40,069.40","39,409.49","200.46K","0.92%"
"Oct 24, 2018","39,271.12","38,580.29","39,296.33","38,580.29","167.68K","4.13%"
"Oct 23, 2018","37,714.90","38,345.42","38,365.32","37,582.69","117.84K","-1.64%"
"Oct 22, 2018","38,345.42","38,505.97","38,783.87","38,266.93","138.85K","-0.22%"
"Oct 19, 2018","38,430.27","38,019.32","38,467.41","37,759.95","115.56K","1.18%"
"Oct 18, 2018","37,982.25","37,806.08","38,189.16","37,438.38","116.46K","0.89%"
"Oct 17, 2018","37,647.34","36,686.20","37,704.08","36,684.95","101.31K","2.68%"
"Oct 16, 2018","36,663.38","36,784.07","37,339.49","36,491.56","92.13K","-0.28%"
"Oct 15, 2018","36,767.57","37,453.24","37,575.89","36,274.25","105.52K","-2.00%"
"Oct 12, 2018","37,517.93","38,445.08","38,445.08","37,405.40","92.22K","-2.29%"
"Oct 11, 2018","38,398.30","38,743.35","38,743.35","38,256.70","84.71K","-1.02%"
"Oct 10, 2018","38,792.09","38,551.30","38,826.80","37,894.09","112.57K","0.75%"
"Oct 09, 2018","38,504.84","37,965.23","39,027.34","37,965.23","125.04K","1.60%"
"Oct 08, 2018","37,898.29","39,224.88","39,297.31","37,769.61","113.82K","-3.39%"
"Oct 05, 2018","39,226.35","40,081.75","40,136.32","39,030.03","87.37K","-2.15%"
"Oct 04, 2018","40,087.12","40,568.92","40,603.73","39,993.98","54.99K","-1.17%"
"Oct 03, 2018","40,560.19","40,818.60","40,838.86","40,471.30","52.64K","-0.59%"
"Oct 02, 2018","40,800.25","40,974.07","41,214.48","40,739.76","66.60K","-0.32%"
"Oct 01, 2018","40,929.44","40,985.03","41,029.06","40,709.29","71.48K","-0.17%"
"Sep 28, 2018","40,998.59","40,862.69","41,047.08","40,622.11","98.75K","0.36%"
"Sep 27, 2018","40,851.80","40,904.34","40,972.79","40,383.23","95.30K","-0.14%"
"Sep 26, 2018","40,909.91","41,073.37","41,139.37","40,717.78","77.04K","-0.31%"
"Sep 25, 2018","41,036.30","41,018.81","41,193.18","40,957.32","54.64K","0.08%"
"Sep 24, 2018","41,004.55","41,394.97","41,533.64","40,899.28","54.85K","-0.76%"
"Sep 19, 2018","41,320.13","41,299.73","41,357.34","41,100.58","95.32K","0.20%"
"Sep 18, 2018","41,238.07","40,540.53","41,270.43","40,438.03","83.32K","1.77%"
"Sep 17, 2018","40,520.47","40,933.53","40,961.36","40,255.23","69.40K","-0.98%"
"Sep 14, 2018","40,920.31","41,147.91","41,230.69","40,790.06","80.63K","-0.32%"
"Sep 13, 2018","41,049.91","40,498.05","41,150.41","40,339.04","93.50K","1.30%"
"Sep 12, 2018","40,522.04","40,768.98","40,824.38","40,424.09","69.64K","-0.58%"
"Sep 11, 2018","40,759.53","40,723.40","40,943.19","40,519.03","77.72K","0.19%"
"Sep 10, 2018","40,684.05","40,860.60","40,927.49","40,369.17","60.27K","-0.42%"
"Sep 07, 2018","40,854.77","41,329.63","41,416.74","40,793.70","70.05K","-1.00%"
