Date,SMB,HML
19 October 2010,-0.69,0.26
20 October 2010,0.07,0.09
21 October 2010,-0.53,-0.51
22 October 2010,0.46,-0.43
25 October 2010,0.47,-0.53
26 October 2010,0.01,-0.18
27 October 2010,-0.18,-0.22
28 October 2010,-0.6,-0.06
29 October 2010,0.32,-0.11
01 November 2010,-0.65,-0.2
02 November 2010,1.34,-0.17
03 November 2010,-0.06,0.17
04 November 2010,0.47,1.05
05 November 2010,-0.09,0.68
08 November 2010,0.45,-0.48
09 November 2010,-0.41,-0.49
10 November 2010,0.58,0.55
11 November 2010,-0.06,-0.08
12 November 2010,-0.49,-0.06
15 November 2010,0.2,0.32
16 November 2010,-0.34,-0.15
17 November 2010,0.34,-0.29
18 November 2010,0.31,-0.3
19 November 2010,0.21,-0.18
22 November 2010,0.6,-0.94
23 November 2010,0.48,-0.28
24 November 2010,0.66,0.03
26 November 2010,0.29,-0.35
29 November 2010,0.01,0.42
30 November 2010,-0.21,-0.02
01 December 2010,-0.09,0.01
02 December 2010,-0.31,0.66
03 December 2010,0.39,0.05
06 December 2010,0.75,-0.05
07 December 2010,0.36,0
08 December 2010,-0.52,0.62
09 December 2010,-0.01,0.65
10 December 2010,0.43,0.24
13 December 2010,-0.58,0.08
14 December 2010,-0.04,-0.11
15 December 2010,0.2,-0.54
16 December 2010,0.43,-0.11
17 December 2010,0.15,-0.13
20 December 2010,0.01,0.33
21 December 2010,0.35,0.74
22 December 2010,-0.39,0.82
23 December 2010,0.07,-0.32
27 December 2010,0.21,0.44
28 December 2010,-0.43,0.18
29 December 2010,0.11,-0.16
30 December 2010,0.14,-0.03
31 December 2010,-0.65,0.23
03 January 2011,0.53,0.79
04 January 2011,-1.38,0.11
05 January 2011,0.61,0.14
06 January 2011,-0.06,-0.32
07 January 2011,-0.25,-0.3
10 January 2011,0.56,-0.15
11 January 2011,0.12,0.22
12 January 2011,-0.05,0.26
13 January 2011,0.13,-0.38
14 January 2011,0.02,0.49
18 January 2011,0.07,-0.41
19 January 2011,-1.37,-0.54
20 January 2011,-1.04,0.76
21 January 2011,-0.89,0.56
24 January 2011,0.31,-0.22
25 January 2011,-0.02,0.1
26 January 2011,1.38,-0.22
27 January 2011,-0.09,0.28
28 January 2011,-0.88,-0.03
31 January 2011,-0.01,-0.28
01 February 2011,0.51,0.53
02 February 2011,-0.08,-0.39
03 February 2011,-0.06,-0.1
04 February 2011,0.09,-0.57
07 February 2011,0.27,0.59
08 February 2011,0.23,0
09 February 2011,-0.2,-0.09
10 February 2011,0.35,-0.3
11 February 2011,0.41,0.51
14 February 2011,0.21,-0.15
15 February 2011,-0.37,0.3
16 February 2011,0.38,0.26
17 February 2011,0.38,0.21
18 February 2011,-0.14,-0.03
22 February 2011,-0.53,-0.35
23 February 2011,-1.18,0.4
24 February 2011,0.72,-0.32
25 February 2011,1.01,0.22
28 February 2011,-0.44,0.27
01 March 2011,-0.3,-0.06
02 March 2011,0.33,-0.23
03 March 2011,0.45,-0.04
04 March 2011,0.3,-0.53
07 March 2011,-0.72,0.12
08 March 2011,0.46,0.67
09 March 2011,-0.26,0.32
10 March 2011,-0.74,-0.31
11 March 2011,-0.34,0.14
14 March 2011,0.1,-0.4
15 March 2011,0.28,-0.14
16 March 2011,0.63,-0.07
17 March 2011,-0.81,0.58
18 March 2011,0.57,0.22
21 March 2011,0.96,-0.26
22 March 2011,-0.09,-0.05
23 March 2011,0.15,-0.4
24 March 2011,-0.11,-0.42
25 March 2011,0.43,-0.04
28 March 2011,0.05,-0.18
29 March 2011,0.26,-0.19
30 March 2011,0.43,0.08
31 March 2011,0.59,-0.3
01 April 2011,-0.1,0.24
04 April 2011,0.25,-0.11
05 April 2011,0.47,-0.2
06 April 2011,-0.2,0.6
07 April 2011,-0.21,-0.16
08 April 2011,-0.56,-0.27
11 April 2011,-0.65,-0.11
12 April 2011,-0.67,0.02
13 April 2011,0.15,-0.69
14 April 2011,0.37,-0.35
15 April 2011,0.58,-0.06
18 April 2011,-0.39,-0.35
19 April 2011,-0.35,-0.16
20 April 2011,0.61,-0.61
21 April 2011,0.32,-0.05
25 April 2011,-0.06,-0.04
26 April 2011,0.14,-0.04
27 April 2011,-0.08,-0.23
28 April 2011,-0.14,0.12
29 April 2011,0.21,-0.05
02 May 2011,-0.9,-0.14
03 May 2011,-1.01,0.44
04 May 2011,-0.55,-0.15
05 May 2011,0.51,-0.34
06 May 2011,0.04,-0.17
09 May 2011,0.67,-0.43
10 May 2011,0.66,0.24
11 May 2011,-0.62,-0.44
12 May 2011,0.36,-0.43
13 May 2011,-0.46,-0.32
16 May 2011,-1,0.44
17 May 2011,-0.48,0.12
18 May 2011,0.67,-0.3
19 May 2011,-0.03,-0.12
20 May 2011,0.08,-0.21
23 May 2011,-0.53,0.01
24 May 2011,-0.29,0
25 May 2011,1.02,-0.36
26 May 2011,0.66,-0.15
27 May 2011,0.18,0.23
31 May 2011,0.43,-0.06
01 June 2011,-0.75,-0.26
02 June 2011,-0.02,0.13
03 June 2011,-0.55,0.18
06 June 2011,-0.26,-0.32
07 June 2011,0.31,-0.12
08 June 2011,-0.73,0.04
09 June 2011,-0.08,0.01
10 June 2011,-0.24,0.44
13 June 2011,-0.55,0.36
14 June 2011,1.05,-0.39
15 June 2011,-0.01,-0.15
16 June 2011,-0.08,0.43
17 June 2011,-0.39,0.65
20 June 2011,0.38,-0.09
21 June 2011,0.95,-0.39
22 June 2011,-0.09,0.07
23 June 2011,0.64,-0.83
24 June 2011,0.44,0.12
27 June 2011,0.04,-0.04
28 June 2011,0.42,-0.53
29 June 2011,-0.69,0.66
30 June 2011,0.17,-0.24
01 July 2011,-0.03,0.14
05 July 2011,0.21,-0.84
06 July 2011,0.42,-0.56
07 July 2011,0.48,0.09
08 July 2011,-0.01,-0.42
11 July 2011,-0.14,-0.28
12 July 2011,0.05,0.45
13 July 2011,0.57,-0.12
14 July 2011,-0.8,0.12
15 July 2011,0.11,-0.52
18 July 2011,-0.59,-0.37
19 July 2011,0.57,-0.67
20 July 2011,-0.3,0.73
21 July 2011,-0.35,1.06
22 July 2011,-0.1,-0.74
25 July 2011,-0.58,0.09
26 July 2011,-0.38,0.15
27 July 2011,-0.8,0.43
28 July 2011,0.15,-0.12
29 July 2011,0.23,0.11
01 August 2011,-0.18,0.21
02 August 2011,-0.49,0.15
03 August 2011,0.27,-0.33
04 August 2011,-0.83,0.31
05 August 2011,-1.23,-0.45
08 August 2011,-1.45,-1.56
09 August 2011,0.93,0.65
10 August 2011,-0.55,-1.49
11 August 2011,0.32,0.61
12 August 2011,-0.19,-1.47
15 August 2011,0.44,0.98
16 August 2011,-0.79,-0.1
17 August 2011,-0.33,0.71
18 August 2011,-1.02,0.58
19 August 2011,0.15,-0.37
22 August 2011,0.09,-0.81
23 August 2011,1.24,-0.81
24 August 2011,-0.15,0.95
25 August 2011,-0.99,0.54
26 August 2011,0.91,-1.06
29 August 2011,1.56,0.82
30 August 2011,0.26,-0.77
31 August 2011,-0.72,0.26
01 September 2011,-1.1,-0.76
02 September 2011,-0.81,-0.67
06 September 2011,0.5,-0.64
07 September 2011,0.94,0.92
08 September 2011,-0.76,-0.56
09 September 2011,-0.18,0.04
12 September 2011,0,0.31
13 September 2011,0.76,-0.41
14 September 2011,0.44,-0.4
15 September 2011,-0.55,0.54
16 September 2011,-0.39,-0.35
19 September 2011,-0.53,-1.23
20 September 2011,-1.49,0.24
21 September 2011,-0.36,-1.23
22 September 2011,0.12,0.46
23 September 2011,0.66,-0.02
26 September 2011,-0.64,1.25
27 September 2011,1.07,-0.55
28 September 2011,-1.65,-0.18
29 September 2011,0.58,2.04
30 September 2011,-0.16,-0.08
03 October 2011,-1.92,-0.62
04 October 2011,3.61,0.34
05 October 2011,-0.2,-0.45
06 October 2011,0.25,0.51
07 October 2011,-1.27,-1.34
10 October 2011,0.46,0.61
11 October 2011,0.69,-0.17
12 October 2011,0.5,0.91
13 October 2011,0.25,-1.21
14 October 2011,0.15,-0.37
17 October 2011,-1.29,-0.45
18 October 2011,0.63,1.51
19 October 2011,-0.77,0.37
20 October 2011,-0.3,0.7
21 October 2011,0.15,0.01
24 October 2011,1.76,-0.39
25 October 2011,-0.89,-0.33
26 October 2011,0.7,0.78
27 October 2011,1.41,0.83
28 October 2011,-0.57,-0.44
31 October 2011,0.05,-0.8
01 November 2011,-0.53,-1.08
02 November 2011,0.77,1
03 November 2011,0.59,-0.13
04 November 2011,0.03,-0.58
07 November 2011,-0.71,0.4
08 November 2011,0,0.47
