Date,Price,Open,High,Low,Vol.,Change
"Apr 11, 2019",268.42,268,270.38,265.83,9.73M,-2.77%
"Apr 10, 2019",276.06,276.7,278,272.89,7.06M,1.38%
"Apr 09, 2019",272.31,271.65,275,269.61,5.90M,-0.33%
"Apr 08, 2019",273.2,277.69,281.16,270.44,10.41M,-0.64%
"Apr 05, 2019",274.96,269.86,276.1,266.11,13.04M,2.68%
"Apr 04, 2019",267.78,261.89,271.2,260.59,23.72M,-8.23%
"Apr 03, 2019",291.81,287.32,296.17,287.17,7.93M,2.07%
"Apr 02, 2019",285.88,288.3,289.44,283.88,5.48M,-1.14%
"Apr 01, 2019",289.18,282.62,289.2,281.28,8.11M,3.33%
"Mar 29, 2019",279.86,278.7,280.16,274.5,5.99M,0.45%
"Mar 28, 2019",278.62,277.16,280.33,275.1,6.77M,1.38%
"Mar 27, 2019",274.83,268.75,275.37,268.18,8.78M,2.64%
"Mar 26, 2019",267.77,264.44,270.26,264.43,7.35M,2.82%
"Mar 25, 2019",260.42,259.71,263.18,254.46,10.22M,-1.55%
"Mar 22, 2019",264.53,272.58,272.8,264,8.75M,-3.46%
"Mar 21, 2019",274.02,272.6,276.45,268.45,5.95M,0.15%
"Mar 20, 2019",273.6,269.69,274.97,266.3,6.91M,2.29%
"Mar 19, 2019",267.47,267.5,273.3,263.46,11.80M,-0.75%
"Mar 18, 2019",269.49,276,278.05,267.3,10.28M,-2.16%
"Mar 15, 2019",275.43,283.51,283.72,274.4,14.79M,-5.01%
"Mar 14, 2019",289.96,292.45,295.39,288.29,7.10M,0.35%
"Mar 13, 2019",288.96,283.9,291.99,282.7,6.84M,1.98%
"Mar 12, 2019",283.36,286.49,288.07,281.06,7.50M,-2.60%
"Mar 11, 2019",290.92,283.52,291.28,280.5,7.39M,2.39%
"Mar 08, 2019",284.14,276.91,285.59,275.89,8.82M,2.73%
"Mar 07, 2019",276.59,278.84,284.7,274.25,9.44M,0.13%
"Mar 06, 2019",276.24,276.48,281.51,274.39,10.34M,-0.11%
"Mar 05, 2019",276.54,282,284,270.1,18.76M,-3.09%
"Mar 04, 2019",285.36,298.12,299,282.78,17.10M,-3.20%
"Mar 01, 2019",294.79,306.94,307.13,291.9,22.91M,-7.84%
"Feb 28, 2019",319.88,318.92,320,310.81,10.52M,1.63%
"Feb 27, 2019",314.74,301.78,316.3,300.55,11.18M,5.67%
"Feb 26, 2019",297.86,292.22,302.01,288.77,8.58M,-0.30%
"Feb 25, 2019",298.77,297.91,302.9,297,6.63M,1.38%
"Feb 22, 2019",294.71,294.49,296.5,292.1,5.74M,1.19%
"Feb 21, 2019",291.23,301.81,303.24,290.5,8.91M,-3.74%
"Feb 20, 2019",302.56,304.41,306.3,299,7.14M,-1.01%
"Feb 19, 2019",305.64,306.56,311.54,305.47,4.17M,-0.73%
"Feb 15, 2019",307.88,304.5,308,303.9,3.90M,1.35%
"Feb 14, 2019",303.77,303.38,306.77,301,5.20M,-1.43%
"Feb 13, 2019",308.17,312.35,312.75,305.57,5.14M,-1.17%
"Feb 12, 2019",311.81,316.2,318.19,309.62,5.52M,-0.33%
"Feb 11, 2019",312.84,311.6,318.6,310.5,7.13M,2.30%
"Feb 08, 2019",305.8,306.83,307.44,298.5,5.84M,-0.56%
"Feb 07, 2019",307.51,313.3,314.7,303,6.52M,-3.06%
"Feb 06, 2019",317.22,319.59,324.24,315.62,5.04M,-1.29%
"Feb 05, 2019",321.35,312.49,322.44,312.25,6.74M,2.70%
"Feb 04, 2019",312.89,312.98,315.3,301.88,7.35M,0.22%
"Feb 01, 2019",312.21,305.42,316.1,303.5,7.28M,1.69%
"Jan 31, 2019",307.02,301,311.56,294,12.57M,-0.57%
"Jan 30, 2019",308.77,300.45,309,298.49,11.25M,3.80%
"Jan 29, 2019",297.46,295.27,298.56,291.8,4.62M,0.36%
"Jan 28, 2019",296.38,292.91,297.46,287.75,6.42M,-0.22%
"Jan 25, 2019",297.04,294.39,298.52,289.55,7.26M,1.90%
"Jan 24, 2019",291.51,283.03,293.68,279.28,8.01M,1.36%
"Jan 23, 2019",287.59,292.5,294.5,281.69,12.53M,-3.79%
"Jan 22, 2019",298.92,304.82,308,295.5,12.07M,-1.11%
"Jan 18, 2019",302.26,323,327.13,299.73,24.15M,-12.97%
"Jan 17, 2019",347.31,346.21,351.5,344.15,3.68M,0.36%
"Jan 16, 2019",346.05,344.78,352,343.5,4.69M,0.47%
"Jan 15, 2019",344.43,335,348.8,334.5,6.06M,3.00%
"Jan 14, 2019",334.4,342.38,342.5,334,5.25M,-3.70%
"Jan 11, 2019",347.26,342.09,348.41,338.77,5.04M,0.66%
"Jan 10, 2019",344.97,334.4,345.39,331.79,6.06M,1.90%
"Jan 09, 2019",338.53,335.5,343.5,331.47,5.43M,0.95%
"Jan 08, 2019",335.35,341.96,344.01,327.02,7.01M,0.12%
"Jan 07, 2019",334.96,321.72,336.74,317.75,7.55M,5.44%
"Jan 04, 2019",317.69,306,318,302.73,7.39M,5.77%
"Jan 03, 2019",300.36,307,309.4,297.38,6.97M,-3.15%
"Jan 02, 2019",310.12,306.1,315.13,298.8,11.66M,-6.81%
"Dec 31, 2018",332.8,337.79,339.21,325.26,6.30M,-0.32%
"Dec 28, 2018",333.87,323.1,336.24,318.41,9.94M,5.61%
"Dec 27, 2018",316.13,319.84,322.17,301.5,8.58M,-3.05%
"Dec 26, 2018",326.09,300,326.97,294.09,8.16M,10.39%
"Dec 24, 2018",295.39,313.5,314.5,295.19,5.56M,-7.62%
"Dec 21, 2018",319.77,317.4,323.47,312.44,8.02M,1.39%
"Dec 20, 2018",315.38,327.05,330.29,311.87,9.07M,-5.28%
"Dec 19, 2018",332.97,337.6,347.01,329.74,8.27M,-1.20%
"Dec 18, 2018",337.03,350.54,351.55,333.69,7.10M,-3.27%
"Dec 17, 2018",348.42,362,365.7,343.88,7.67M,-4.73%
"Dec 14, 2018",365.71,375,377.87,364.33,6.34M,-2.94%
"Dec 13, 2018",376.79,370.15,377.44,366.75,7.37M,2.78%
"Dec 12, 2018",366.6,369.42,371.91,365.16,5.03M,-0.04%
"Dec 11, 2018",366.76,369.91,372.17,360.23,6.31M,0.44%
"Dec 10, 2018",365.15,360,365.98,353.12,6.61M,2.01%
"Dec 07, 2018",357.96,369,379.49,357.65,11.51M,-1.40%
"Dec 06, 2018",363.06,356.01,367.38,350.76,7.84M,0.93%
"Dec 04, 2018",359.7,356.05,368.68,352,8.46M,0.34%
"Dec 03, 2018",358.49,360,366,352,8.31M,2.29%
"Nov 30, 2018",350.48,341.83,351.6,338.26,5.63M,2.73%
"Nov 29, 2018",341.17,347,347.5,339.55,3.08M,-1.93%
"Nov 28, 2018",347.87,345.99,348.28,342.21,4.13M,1.15%
"Nov 27, 2018",343.92,340.05,346.96,335.5,6.36M,-0.60%
"Nov 26, 2018",346,325,346.22,325,7.99M,6.19%
"Nov 23, 2018",325.83,334.35,337.5,325.55,4.20M,-3.65%
"Nov 21, 2018",338.19,352,353.1,337.4,4.69M,-2.68%
"Nov 20, 2018",347.49,341.75,349.8,333.55,8.00M,-1.69%
"Nov 19, 2018",353.47,356.34,366.75,352.88,9.71M,-0.24%
"Nov 16, 2018",354.31,345.19,355.7,345.12,7.21M,1.68%
"Nov 15, 2018",348.44,342.33,348.58,339.04,4.63M,1.29%
"Nov 14, 2018",344,342.7,347.11,337.15,5.04M,1.56%
"Nov 13, 2018",338.73,333.16,344.7,332.2,5.45M,2.25%
"Nov 12, 2018",331.28,348.37,349.78,330.34,6.94M,-5.49%
"Nov 09, 2018",350.51,349,354,345.23,5.10M,-0.25%
"Nov 08, 2018",351.4,348.5,357.58,348.44,7.09M,0.93%
"Nov 07, 2018",348.16,343.34,351.18,340.8,7.37M,2.08%
"Nov 06, 2018",341.06,339.07,348.8,336.09,6.76M,-0.10%
"Nov 05, 2018",341.4,340.5,343.95,330.14,7.83M,-1.45%
"Nov 02, 2018",346.41,343.74,349.2,340.91,7.81M,0.62%
"Nov 01, 2018",344.28,338.26,347.84,334.73,8.00M,2.06%
"Oct 31, 2018",337.32,332.54,342,329.1,7.62M,2.25%
"Oct 30, 2018",329.9,328.39,337.9,322.26,9.13M,-1.48%
"Oct 29, 2018",334.85,337.47,347.16,326.5,14.49M,1.19%
"Oct 26, 2018",330.9,308.25,339.9,306.65,27.43M,5.09%
"Oct 25, 2018",314.86,317.22,321,301.01,20.84M,9.14%
"Oct 24, 2018",288.5,301.05,304.44,285.73,20.06M,-1.92%
"Oct 23, 2018",294.14,263.87,297.93,262.1,19.03M,12.72%
"Oct 22, 2018",260.95,260.68,261.86,252.59,5.60M,0.37%
"Oct 19, 2018",260,267.39,269.66,253.5,9.38M,-1.48%
"Oct 18, 2018",263.91,269.29,271,263,5.42M,-2.90%
"Oct 17, 2018",271.78,282.4,282.7,265.8,8.66M,-1.74%
"Oct 16, 2018",276.59,265.7,277.38,262.24,9.53M,6.55%
"Oct 15, 2018",259.59,259.06,263.28,254.54,6.20M,0.31%
"Oct 12, 2018",258.78,261,261.99,252.01,7.20M,2.60%
"Oct 11, 2018",252.23,257.53,262.25,249.03,8.17M,-1.81%
"Oct 10, 2018",256.88,264.61,265.51,247.77,12.82M,-2.25%
"Oct 09, 2018",262.8,255.25,266.77,253.3,12.06M,4.89%
"Oct 08, 2018",250.56,264.52,267.76,249,13.47M,-4.35%
"Oct 05, 2018",261.95,274.65,274.88,260,17.94M,-7.05%
"Oct 04, 2018",281.83,293.95,294,277.67,9.81M,-4.40%
"Oct 03, 2018",294.8,303.33,304.6,291.57,7.99M,-2.07%
"Oct 02, 2018",301.02,313.95,316.84,299.15,11.74M,-3.12%
"Oct 01, 2018",310.7,305.77,311.44,301.05,21.78M,17.35%
"Sep 28, 2018",264.77,270.26,278,260.56,33.65M,-13.90%
"Sep 27, 2018",307.52,312.9,314.96,306.91,8.51M,-0.67%
"Sep 26, 2018",309.58,301.91,313.89,301.11,7.84M,2.85%
"Sep 25, 2018",300.99,300,304.6,296.5,4.48M,0.44%
"Sep 24, 2018",299.68,298.48,303,293.58,4.84M,0.19%
"Sep 21, 2018",299.1,297.7,300.58,295.37,5.05M,0.26%
"Sep 20, 2018",298.33,303.56,305.98,293.33,7.35M,-0.23%
"Sep 19, 2018",299.02,280.51,300,280.5,8.29M,4.93%
"Sep 18, 2018",284.96,296.69,302.64,275.5,16.55M,-3.35%
"Sep 17, 2018",294.84,290.04,300.87,288.13,6.89M,-0.12%
"Sep 14, 2018",295.2,288.76,297.33,286.52,6.77M,1.98%
"Sep 13, 2018",289.46,288.02,295,285.18,6.34M,-0.37%
"Sep 12, 2018",290.54,281.44,292.5,278.65,10.02M,3.97%
